,Artist,Song,Lyrics,Sentiment
489,AC/DC,Can I sit next to you girl?,saturday queue odeon smiling intermission 'till stood smiling lick ear c'mon,Positive
490,AC/DC,Carry me home,bartender's shift cheap bums blondes barmaids drift band's sling sinkin' whiskey sippin' prove hardly reputation lyin' truck legs achin' head's back's needin' breakin' spoil spent week's wages coin joint afford taxi bus beer drank booze bleary eyed sunshine threw excuse plastic bag drunk heavin' hangin' upside leavin',Neutral
491,AC/DC,Code red,loading battery raising insanity beating oldtime crawling waterfall belting tune strike strike guns ablaze strike emergency speeding tearing code hesitate brakes station station code stations code weapons code code attention reputation situation pale quick silent station station code stations code code weapons code code code code,Negative
492,AC/DC,Cold hearted man,himself pa fooled messed leroy kincaid hearted hearted hearted hearted mother's reputation prayed leroy kincaid hearted hearted hearted hearted hidden naked loser hearted hearted hearted hearted,Negative
493,AC/DC,Crabsody in blue,moved crawled walkin' sideways sideway walkin' scratch hatch walkin' sideways sideway walkin' appointment apply cream ointment mulligan doctor walkin' sideways sideway walkin' apply cream ointment itch appointment rub rub stops walkin' sideway walkin' gives sideway walkin' sideway walkin',Neutral
494,AC/DC,Cyberspace,tail hong kong videos bang cyberspace cyberspace cyberspace rage eight ball jukebox burnin' amok cyberspace cyberspace cyberspace rage cyberspace cyberspace cyberspace cyberspace cyberspace cyberspace cyberspace octane flat chat smash mach burnin' mile cyberspace cyberspace cyberspace cyberspace cyberspace cyberspace cyberspace cyberspace cyberspace cyberspace cyberspace cyberspace cyberspace cyberspace cyberspace,Negative
495,AC/DC,Demon fire,loves guns blazing deadly trip creed raised jackal raised seed quarrel deadline demon demon seeking hunt knock quarter drenched grime huh intentions demon demon demon demon allout hellfire demon demon glows sapphire demon demon allout hellfire demon demon demon,Neutral
496,AC/DC,Dirty deeds done dirt cheap,graduate anytime deeds cheap deeds cheap deeds cheep deeds cheap deeds cheap problems double dealin' drops fella social ourselves ball deeds cheap deeds cheap deeds cheep deeds cheap aww deeds cheap guts naggin' nuts fee backdoor deeds cheap deeds cheap deeds cheep deeds cheap deeds cheap concrete cyanide tnt cheap ties contracts voltage cheap,Negative
497,AC/DC,Dogs of war,soldier fortune soldier fortune soldier fortune soldier fortune fightin' cash mix tide risk takin' riskin' brewing dodging bullets shooting missiles soldiers fortune mercenary soldier fortune soldier fortune soldier fortune soldier fortune firefight fright dodging bullets shooting missiles soldiers fortune mercenary soldier fortune soldier fortune soldier fortune soldier fortune soldier fortune marchin' nightness mercenary,Negative
498,AC/DC,Dog eat dog,cat french frog an' deal up's down's below limbo's anybody's woof tooth tooth,Neutral
499,AC/DC,Down on the borderline,idle society pushed broom physically nose spill whiskey cup borderline borderline struttin' shows neon anchor borderline borderline borderline borderline borderline borderline borderline dice climb poker dealt foul pocket's ace borderline borderline idle society pushed broom physically nose spill whiskey cup borderline borderline borderline borderline borderline borderline borderline feelin' borderline borderline borderline borderline borderline borderline borderline,Neutral
500,AC/DC,Down payment blues,shoestring fifty cent millionaire charity welfare cadillac listening suzy nightmare wet cadillac afford gasoline holes overdue payment steady job responsibility cat social security rent sheriff knocking flies sailing sipping champagne suzy paper cup floating drain sailing afford holes overdue payment payment payment payment holes overdue payment,Positive
501,AC/DC,Emission control,mission seek grabs givin' fooling raising shy raising systems emission emission emission emission emission engine pairing lion strike strike flight raising shy raising systems givin' givin' emission emission emission emission raising raising,Negative
502,AC/DC,Evil walks,hangin' shoulder mark colder veins walks sleeps talks arouse walks widow weavin' notions bein' spun web tied walks sleeps talks arouse walks wolf park broom widow c'mon weave web tied widow walks sleeps talks arouse walks walks,Neutral
503,AC/DC,First blood,screamin' feelin' healin' 'cos squeezin' an' teasin' disguise disguise disguise,Negative
504,AC/DC,Flick of the switch,suicidal voltage sends signals distress shedevil sheevil reelin' flick switch flick switch flick switch flick switch satisfy electrify force shedevil sheevil screamin' lightnin' flick switch flick switch flick switch flick switch satisfy flick switch flick switch flick switch flick switch satisfy flick switch flick switch raze flick switch flick switch flick switch flick switch,Neutral
505,AC/DC,Fling thing,scotland afore ye bonny bonny banks loch lomond,Neutral
506,AC/DC,Fly on the wall,itching drunk stoned dollars boned tough tame sweating trapped caged zoo animal beatin' chest licking tough tame ending sweating,Negative
507,AC/DC,"For those about to rock, we salute you",guitar counted receive dealers hail hail legends salute bolt sky's alight guitar heads salute battery hire guitar aimed load cannon twentyone salute salute salute salute salute salute salute,Neutral
508,AC/DC,Get it hot,ourselves nobody's playin' manilow nobody's playin' playin' movin' motorway lotta booze bend g string conduct choir,Neutral
509,AC/DC,Gimme a bullet,letting doctor doctor cure bullet chew bullet drugs sympathy sooner bill doin' operator distance telephone grips bullet chew bullet bullet bullet bullet bullet bullet chew bullet bullet bullet bullet,Neutral
510,AC/DC,Girls got rhythm,stealin' spotlight knocks landslide walkin' wearin' dresses dynamite girl's girl's girl's gir'ls seat seat girl's lethal brand degree satisfy legless achin' sore freight third losin' girl's girl's girl's girl's seat seat girl's liquid gir'ls girl's gir'ls girl's seat seat girl's girl's girl's seat seat girl's,Neutral
511,AC/DC,Given the dog a bone,ninety degrees blowing ammunition using using using givin' mona lisa playboy explode mars using using using givin' union hits likes givin',Neutral
512,AC/DC,Gone shootin',pressure whistle bought ticket accord packed travellin' bag byebye missin' neighborhood cryin' stirred coffee spoon favorite tune shootin' shootin' wrapped herself backed favorite nag offer pill overdrive victim overkill bedroom aiming shootin' shootin' baby's shootin' woo shootin' shootin' ow shootin' shouldn't shootin' shootin' shootin',Positive
513,AC/DC,Got some rock & roll thunder,headin' major feelin' tough workin' bankroll hang tailormade tailormade feelin' feelin',Neutral
514,AC/DC,Go down,ruby ruby drinkin' whiskey lickin' lickin' heathen mary mary hum sting bumble bee zzz ten tips lovely rub sticky,Neutral
515,AC/DC,Hard as a rock,rolling electric shocks gives licking smoking rings potatoes elevate behavior lightning rod striking rushmore nicotine pipe elevator it'll bursting,Neutral
516,AC/DC,Hard times,quake theyll freein' apumping jumpin' freein' online grown misery freein' online grown,Negative
517,AC/DC,Have a drink on me,whiskey gin brandy handy sour mash cheap join noise dizzy drunk tequila lightnin' shorter whiskey blinded stoned swig noise,Neutral
518,AC/DC,Heatseeker,coal motor engine tires heatseeker charging heatseeker preserver hose hose firing serpent siren heatseeker heatseeker preserver hose hose heatseeker whites heatseeker heatseeker measure size heatseeker motor engine tires heatseeker preserver hose heatseeker heatseeker heatseeker,Neutral
519,AC/DC,Hells bells,rolling pouring hurricane lightning's flashing prisoners spare nobody's putting bell satan hells bells hells bells ringing hells bells temperature's hells bells sensations spine flashing split good's sticking prisoners spare nobody's puttin' bell satan hells bells hells bells ringing hells bells temperature's hells bells hells bells satan's hells bells ringing hells bells temperature's hells bells hells bells hells bells dragging hells bells split hells bells hells bells,Negative
520,AC/DC,Hell ain't a bad place to be,puts fools satisfaction action pours beer licks ear brings spends drinks booze stays disillusions confusion playin' tellin' demon heavenly closes opens brings,Neutral
521,AC/DC,Highway to hell,season ticket asking stride rhyme signs speed limit nobody's spin nobody's satan paid dues playin' momma waaayaay,Neutral
522,AC/DC,High voltage,clothes dig doin' stands plug voltage voltage voltage voltage voltage kicks voltage voltage voltage voltage voltage bulbs spotlight voltage voltage voltage voltage plugged,Neutral
523,AC/DC,If you want blood (you got it),criminal ought law criminal ought lust rocks gutter animal zoo animal toss feelin' christian cage thrown lions page rocks gutter positive rocks sheets,Neutral
524,AC/DC,"It's a long way to the top, if you wanna rock'n'roll",ridin' stopping byways rock'n'roll robbed stoned boned folks rock'n'roll rock'n'roll doin' onenight stands rock'n'roll rock'n'roll hotel motel lady's sell gettin grey ripped underpaid sold secondhand rock'n'roll rock'n'roll stage screen rock'n'roll rock'n'roll,Neutral
525,AC/DC,It's a long way to the top (if you wanna rock 'n' roll),ridin' stoppin' byways playin' robbed stoned boned folks doin' stands playin' hotel motel ladies sell gray ripped underpaid sold secondhand playin' stage screen,Neutral
526,AC/DC,Jailbreak,murder judge's gavel jury sixteen spending breakin' rocks chain gang breakin' heading jailbreak towards jailbreak liberty liberty jailbreak jailbreak sixteen jailbreak jailbreak fooled bullets lyin' liberty liberty jailbreak jailbreak heartbeats racing chasin' spotlights sirens rifles firing bullet jailbreak jailbreak jailbreak jailbreak jailbreak jailbreak jailbreak jailbreak jailbreak jailbreak,Positive
527,AC/DC,Kicked in the teeth,satisfied mother's sugar spice shoulda listened ma's advice kicked kicked misery kicked kicked cryin' double 'till kicked kicked misery kicked kicked,Negative
528,AC/DC,Kick you when you're down,slipping headed slipping beatin' slippin' headed shady grows rotten apples barrel delicacy slippin' headed sacrifice slippin' headed trick,Negative
529,AC/DC,Let me put my love into you,flight machinery reputations blown artillery guiding riding awhat struggle cake burnin' faster spark reeling raising steam struggle cake ow ow cake cake,Neutral
530,AC/DC,Let there be rock,beggining rock'n'roll jive schmoltz tchaikovsky drums drums guitar guitar rock'n'roll blowing guitar rich superstar seven itch fifteen learning picking drums guitar club ninetytwo decibel singer,Positive
531,AC/DC,Little lover,row movin' movin' groovin' wet patch seat coca cola liked goodnight cruisin' either motorcycle seat oozin' nightmare ow bedroom gary glitter stage guitar picker record,Neutral
532,AC/DC,Live wire,satisfaction satisfaction guaranteed hotter rollin' dice foolin' wire wire wire plans thirst 'n booze inch mile fry wire wire wire wire wire wire rod fuse box aah cooler hotter rollin' dice wilder drunken wire wire wire wire wire wire wire wire wire wire wire wire wire wire soak circuit,Positive
533,AC/DC,Love at first feel,legal tender degree disgusting knocking we's lightnin' bolts fingertips,Neutral
534,AC/DC,Love hungry man,waited animal appetite conversation sensation meal tellin' treat waited tellin' tellin' tellin' load bon appetite,Neutral
535,AC/DC,Love song,sigh thinkin' jean jean jean jean sunrise thinkin' jean jean jean jean flowers deeper jean jean jean jean,Neutral
536,AC/DC,Miss Adventure,loose juice adventure bare essential adventure feelin' confidential sealed cat's tongue feelin' buns adventure bare essential adventure feelin' confidential sealed adventure adventure feelin' adventure bare essential adventure confidential adventure adventure adventure feelin',Positive
537,AC/DC,Mistress for Christmas,jingle hay lots dough slipping slipping ahahah female form minimum capital date mistress mistress haha mistress slipping slipping mistress mistress mistress mistress mistress mistress stack reindeer bells,Neutral
538,AC/DC,Moneytalks,tailored suits chauffered cars hotels cigars grabs claim sights guaranteed furs paintings moneytalk french maid foreign chef kingsized beds ship dollar's updown pound claim sights guaranteed law hustle deal talks bs walks talks moneytalks,Neutral
539,AC/DC,Money shot,mood dangerous contagious doctor antidote doctor antidote prescription state condition diagnosis doctor antidote doctor antidote solved relief doctor antidote doctor antidote cure ails ya' fail ya' doctor antidote,Negative
540,AC/DC,Night of the long knives,leader foe judas knives knives knives knives where's savior where's praying defending whose attack knives knives knives knives stab knives knives knives knives knives knives knives knives,Negative
541,AC/DC,Night prowler,clock strikes bark distance someone's rat alley chill spine walks warn yell attack prowler prowler prowler prowler noise naked tomb suspended animation slip prowler prowler prowler prowler prowler prowler prowler prowler prowler prowler prowler prowler prowler prowler crawlin' 'cross prowler prowler tellin' shazbot nanu nanu,Negative
542,AC/DC,No man's land,noon board noon noon plain sought fought fray liv th fray,Neutral
543,AC/DC,Overdose,smoked cigarettes drank booze somethin' pulled hunka overdosed overdosed nothin overdosed 'n habit none sinkin' cure overdosed overdosed overdosed plenty overdosed overdosed overdosed,Neutral
544,AC/DC,Play ball,cup mix join loose drinks mood ball ball battin stalls ball sid regional dive gin ball ball battin stalls ball ball shootin' ball stall ball ball ball ball,Neutral
545,AC/DC,Problem child,cop aside flick seed sown stash smash list alight booze hates hates hates hates troubles,Negative
546,AC/DC,Put the finger on you,movin' accord fingertips radiate knockin' unlockin' thru' security tied sneakin' ankle knee thigh sneakin' ankle knee thigh spot,Neutral
547,AC/DC,Realize,moments prove breakin' chill chill movin' spine recall hypnotize mesmerize chills spine playin' tricks seek prove chill chill movin' spine recall electrify satisfy chill spine recall hypnotize mesmerize chills spine,Neutral
548,AC/DC,Rejection,ablaze reject disrespect satisfied reject ball chain hunt revenge reject disrespect agreed reject reject disrespect agreed reject,Negative
549,AC/DC,Ride on,evening admit thumb dragging nightmare oneway ticket,Neutral
550,AC/DC,Riff raff,television humid mexico barmaid's haha beginning sayin' it'll bend riff raff hahaha riff raff bother kickin' misery riff raff hahaha riff raff,Positive
551,AC/DC,R.I.P. (Rock in peace),thrown boogie roll's kicks licks laying chicks route boogie roll's richard jerry lee chuck,Neutral
552,AC/DC,Rocker,rocker roller rightoutofcontroler wheeler dealer wicked stealer bruiser cruiser rollin' slicked skintight jeans cadillac teenage rocker roller rocker roller rocker roller rollin' lurex socks suede v tattoos rocker roller rocker roller rocker roller rollin' rocker roller rocker roller rocker roller rollin' rocker roller rocker roller rocker roller rollin' rollin' woo jive spin rocker roller rocker,Neutral
553,AC/DC,Rock 'n' roll ain't noise pollution,fancy clothes sittin' fence riddle ow decibels guitar vibrations listenin' rockers givin' noise deaf it'll noise pollution noise pollution bedroom lyin' asked it'll noise pollution pollution noise pollution pollution rollin' pollution it'll pollution,Neutral
554,AC/DC,Rock 'n roll dream,circle sharks gather winning winning oooh circle sharks embrace amazed none hollerin' circle sharks,Positive
555,AC/DC,Rock 'n' roll singer,workin' nine five momma havin' grew respected doctor lawyer plans singer singer worked bought guitar queue tellin' ears singer singer pays ninetofive collar tie moral standards handshake silly teach singer singer singer singer,Neutral
556,AC/DC,Rock 'n' roll train,ecstasy spot ecstasy runaway runaway runaway runaway ringin' bell rebel ten revelry diamond agency spot ecstasy runaway runaway runaway runaway southern belle spelling bee ringin' bell rebel ten revelry diamond agency spot runaway runaway runaway runaway,Positive
557,AC/DC,Rock or bust,guitar shootin' guitar playin' destiny bust bust bust n' bust siren sounds lean bout amps crowd's loose fuse bust bust bust n' bust bust bust bust bust,Neutral
558,AC/DC,Rock the blues away,drivin' headed local bar pickin' shootin' pool smokin' cigarettes tellin' jokes joking sounds joking rollin',Positive
559,AC/DC,Rock the house,mistress mistress plate yell heels plays tease squeeze aim legs wet affair blooded awaiting heels squeal 'till,Neutral
560,AC/DC,Safe in New York City,spots rocket limousine obscene dives it'll lip smacking suck jam slam jumping bean tightass jeans fret buck raging cage,Negative
561,AC/DC,School days,teacher teaching rule american history practical maths studyin' hopin' bell cook kitchen sell lucky seat fortunate classroom books teacher hail hail hail hail hail hail hail hail o'clock burden books seat hallway juke joint quarter slot makin' romance toe,Positive
562,AC/DC,Shake a leg,idle juvenile kickin' fightin' law law keepin' kickin' class disgrace stink mob scenes wet machines licks flicks tricky dicks chemistry grain sane grinnin' linen idle juvenile kickin' fightin' law law spittin' bitin' kickin' fightin',Negative
563,AC/DC,She's got balls,spunk funk speed ability important lady's likes likes important lady's pace likes fella lady's lady's,Positive
564,AC/DC,Shoot to thrill,trigger thrill pills thrill bomb illegal trigger thrill pills thrill thrill thrill trigger,Positive
565,AC/DC,Shot down in flames,plenty standin' juke box she'd sell singles bar hangin' drivin' laid chip shoulder toss buddy angus,Neutral
566,AC/DC,Shot in the dark,rollin' truck tattooed hunger pumping position transmission electric sparks beats park blast tv wires mission broad daylight position transmission electric sparks beats park mission ignition electric sparks beats park beats park,Neutral
567,AC/DC,Show business,businessmen halls bars climbing dues guitar's hock smokin' butts cigars drowned debt bars chick worn,Negative
568,AC/DC,Sin city,poor rich lamborghini's caviar martini's shangrila burnin' feelin' yearning ladders snakes ladders snakes rich poor beggar thief belief freddy diamond jim spin dice champagne,Neutral
569,AC/DC,Snake eye,paint plain hidin' security watchin' rattle watchin' escaping footprint echo antivenom doctor's cup watchin' escaping rustle sanctuary bolt watchin' escaping watchin' escaping,Neutral
570,AC/DC,Soul stripper,garden apple sittin' handful flowers talked couple laid lap trap stripper stripper tore movin' spine killin' hollow naked pulled flashed stripper stripper tore stripper stripper stripper stripper stripper stripper tore stripper stripper stripper,Neutral
571,AC/DC,Squealer,she'd touched she'd she'd liked hmm excited won she'd balled ball fixed squealer squealer squealer kissed squealer sucked tips squealer squealer squealer squealer aw,Positive
572,AC/DC,Stick around,smiling lately bath acting photograph early packed bag worrying hurricane month blowing stiff breeze stayed lays c'mon lately romancing,Positive
573,AC/DC,Sweet candy,slides pole flip spotlight crawls calls attention yell splits sellin' charms glide pole panting,Neutral
574,AC/DC,Systems down,unchained burnin' scorchin' seeks chain reaction immediate action furnace blast systems systems systems untamed tiger searchin' shakes beneath action rising maximum implodes systems systems chain reaction systems furnace blast systems systems systems systems overload systems flow systems systems,Neutral
575,AC/DC,That's the way I wanna rock'n'roll,union hall picking chevrolet hallelujah suede bopping heel shoe balling wrecking crew bopper lubba dose video boss rock'n'roll rock'n'roll,Positive
576,AC/DC,There's gonna be some rockin',quiver quake fat bass drum,Neutral
577,AC/DC,The Jack,wheelin' dealin' doin' holdin' pair deuce ace she'd dealt she'd tattoo garter she'd card poker poker nature poker card she'd shuffled she'd royal flush cards dealin' dealt deal aaaaaah oooooh folks goodnight bless,Neutral
578,AC/DC,Through the mists of time,pictures hang painted painted ladies painted ladies mists mists restless cries mists mists whisper whirlwind monster dim horses roam mystic conjure painted ladies painted ladies mists mists restless cries mists mists painted divine mists mists restless cries mists searchin' mists mists,Negative
579,AC/DC,Thunderstruck,railroad raced drums beating guns thunderstruck rode limit texas texas dancers fools blew minds ladies thunderstruck thunderstruck thunderstruck thunderstruck thunderstruck thunderstruck thunderstruck thunderstruck thunderstruck thunderstruck thunderstruck whou thunderstruck thunderstruck thunderstruck thunderstruck thunderstruck thunderstruck thunderstruck,Negative
580,AC/DC,T.N.T.,sunset color tv screen tnt dynamite tnt tnt load tnt explode mighty unclean public daughter wife tnt dynamite tnt tnt load tnt explode tnt tnt tnt tnt tnt dynamite tnt tnt load tnt explode,Neutral
581,AC/DC,TNT,sunset color tv screen tnt dynamite tnt tnt load tnt explode mighty unclean public daughter wife tnt dynamite tnt tnt load tnt explode tnt tnt tnt tnt tnt dynamite tnt tnt load tnt explode,Neutral
582,AC/DC,Touch too much,everythin' view takin' losin makin' satisfied velvet glove woman's smilin' venus dealin' strokin' lightnin' liked medium rare woman's givin',Positive
583,AC/DC,Up to my neck in you,strife misery pleasure railroad waitin' cruise figured overdue pulled whiskey wishin' loser,Negative
584,AC/DC,Walk all over you,unknown overflow resistance heels reflections bedroom rising moanin' groanin' stirring stage lace,Neutral
585,AC/DC,What's next to the moon,tied railroad cannonball engineer wishing casey jones wideeyed heading mile heavenly superman tune clark kent lois lane bird plane suicide that'd arm fingerprint mystery clue hitting third degree thumb screw officer confess everything's attack guaranteed movin' byebye,Neutral
586,AC/DC,What do you do for money honey,workin' bars ridin' cars apartment view finest avenue pushin' shovin' satisfied diggin' kicks squeezin' standin' queue usual grabbin' stabbin' diggin' kicks licks,Neutral
587,AC/DC,Whole lotta Rosie,wan' steals exactly exactly fortytwo thirtynine fiftysix doin' doin' fairy weighing nineteen lotta lotta lotta rosie lotta rosie lotta rosie lotta clock woo rosie stopped lotta lotta lotta rosie lotta rosie lotta rosie lotta lotta lotta lotta rosie lotta rosie lotta rosie lotta womanmanmanmanman lotta rosie lotta lotta,Neutral
588,AC/DC,Who made who,video level spine dime databank grade screw picked bill screw satellites wire spinning dynamo chips eight picked bill,Neutral
589,AC/DC,Wild reputation,onehorse reputation reputation dollar bills robbed bank picked ranks reputation reputation reputation reputation main stoppin' reputation reputation reputation reputation stoppin' reputation,Neutral
590,AC/DC,Witch's spell,fortune sinister leopard spots moonbeam sail starlight blaze witch's flight witch's spell witch's spell witch's spell maker likes card playin' shark riding moonbeam sail starlight blaze witch's flight witch's spell witch's spell witch's spell bathed spell's witch's spell witch's spell witch's spell crystal almanac potions oil charms witch's spell,Neutral
591,AC/DC,You ain't got a hold on me,tallyhoho rollin' facing hill grip slip bedroom climax hooked hooked,Neutral
592,AC/DC,You can't stop rock'n'roll,thorn jive crap whine,Negative
593,AC/DC,You shook me all night long,motor sightless knockin' american thighs quaking aching shook shook double seduction applause course meal swing quaking aching shook shook knocked shook shakin' shook shook shook ohooooo shook shook shook shook shook,Negative
594,AC/DC,Rock'n'Roll damnation,tough mind's diseased shaky rock'n'roll damnation ma's whipping rock'n'roll damnation choice respect thanks bended ease temperature's damnation putting damnation damnation practice preach damnation damnation damnation damnation rock'n'roll damnation bundle damnation toy damnation dollars damnation chasin' pie damnation rock'n'roll damnation,Negative
595,Acarine,Stand ya ground,apple pie dropped culture 'an eye' combat ten media press instigate slate mps debate judge sat thinks birch preventing mention production hooligan apprentices militant innocent rival firm visiting shops early bill walks early clad prada rockport burberry offers avoiding spotters avoiding coppers helicopters gse's gse's culture await toes smash doors smash bar smash pub smash invasion occasion b arrive persuasion photographed hemmed penned sent apprehending cop brought escort onslaught cuts stinging mobiles ringing arranging match cos' rush buzz 'scum' 'your club's none' gse's gse's main vital survivor tribal rival raining coins boot loins seeing smack designer bloodstain latest 'the game' bus enjoy club wash dish bans fans hoolie culture hoolie hoolie outlook hoolie fashion gse's gse's,Neutral
596,Accept,200 years,cities reduced rubble plant settles score bridges tunnels collapsing towers post traumatic eden roaches rule civilization remain pollution population zero age mankind silent reclaimed age mankind seven wonders pyramids erased thrive continental glaciers scrape planet removing remnants society traffic madness nuclear technology population zero age mankind silent reclaimed age mankind,Negative
597,Accept,Against the world,smoldering embers below defines finding inhibition hurled lt's branded pierced fists millions brought common entwined global nation profound inhibition hurled lt's inhibition flag unfurled,Negative
598,Accept,Ahead of the pack,yesterday's heroes there'll going's going's muscle knock spit going's,Positive
599,Accept,Aiming high,ry aiming longing likes tough aiming aiming relief belief aiming aiming delight burns lower aiming aiming aiming relief belief aiming aiming delight aiming indeed seeking aiming aiming relief belief aiming aiming delight aiming,Positive
600,Accept,All or nothing,revolution vision reality spark lit rights beliefs force chain double strike strike believing,Neutral
601,Accept,Amamos la vida,remains misery naked amamos vida amamos vida jungle amamos vida amamos vida noone backs amamos vida amamos vida amamos vida,Negative
602,Accept,Analog man,cave stereo rage gatefold vinyl eight tracks ruled flat screens d cell phone's smarter brains beginning update download winning insanity update download spinning analog analog analog trapped digital analog analog analog digital surfing information's cloud profile hacked update download winning insanity update download wheel's spinning analog analog analog trapped digital analog analog digital wifi hifi data computers crashing smash don' update download winning insanity update download wheels spinning analog analog analog digital analog analog analog digital,Negative
603,Accept,Another second to be,magazine facing cover twelve months tainted fainted blameless shameless awful disgrace passing lied tainted fainted blameless shameless awful disgrace time's awful disgrace,Negative
604,Accept,Bad habits die hard,forward steps lucky lower draws sow reap mistakes buddy rings bell habits habits habits habits rut lowdown bum tumbling dice sixes habits habits habits habits forward steps nailed rack load habits corrupted freak nature vices sins draws sow reap mistakes buddy rings bell habits habits habits habits habits habits habits habits,Negative
605,Accept,Bad religion,crossed stood forgotten prayers identity cast religion shelter religion makebelieve religion beggin' relief circle vicious spell dangerous romance daring identity cast religion shelter religion makebelieve religion lend helping shed battered challenge loser's religion shelter religion makebelieve religion beggin' relief religion,Positive
606,Accept,Balls to the wall,slaves torture themselves bondage slaves bless bless screw brains sacrifice mortify flesh rape tortured revolt bless bless plug bomb everyone's bodies saved victory victory victory bless bless,Neutral
607,Accept,Beat the bastards,ropes bind cautious wayshave spawned stage puts page frontier mundane history seize mystery ripcord bridges grab handle clench fist bastards raging return embrace destiny ripcorddon't bridges grab handleclench fist bastards ripcord bum bridges grab handle crack whip bastards em' ripcord bridges grab handle clench fist bastards ripcord bridges grab handle crack whip bastards em',Negative
608,Accept,Bloodbath mastermind,lurking hatred breeds consciously heartless evils begun unwind confusion plotting unfolds madness shade explosions shootings innocent burnt horizon remains curses spoke shots antimatter bloodbath mastermind antimatter bloodbath mastermind path murder creed became psychopath spawn seed depth sickness contained justice paid serve sentence antimatter bloodbath mastermind antimatter bloodbath mastermind seek retribution crimes chose cowards suicide antimatter,Negative
609,Accept,Blood of the nations,wages ideals honor duty nations defend securing safety allies lands heeding sacrifice fuel freedoms' nations warriors demand nations noble homes ensure avenge brothers murders countries legions terror allies hostile lands masses sacrifice nations brothers nations cos' nations cos' nations soldier's nations warriors demand nations noble nations cos' nations soldier's nations nations cos',Positive
610,Accept,Bound to fail,passed winning team tables reject failures replay deal bound fail failed bound fail failed self defence mistaken bound fail failed bound fail failed,Negative
611,Accept,Breaker,rollin' mistreatin' ev'rythin' crown mourn happiness unreal burns altogether hate's movin' spider killin' fists rocks icicle brains bicycle rulin' tyrant teasin' ev'ryone drags legs plants bothering plans terror rule icicle brains bicycle breaker destroyin' breaker taker maim destroy movin' spider preyin' rulin' tyrant tyrannosaurus rex fists rocks icicle brains bicycle breaker destroyin' breaker taker maim destroy,Negative
612,Accept,Breaking up again,wakin' monday mornin' sunday'd reachin' breakfast table table's ev'ry mornin' silly playin' ev'ry breakin' waitin' walkin' knowin' playin' ev'ry breakin',Neutral
613,Accept,Break the ice,beginning torture vibrations restless burnin' throwing message vibe breakin' spirits given message vibe throwing needless needless takin',Negative
614,Accept,Bucket full of hate,judas following script anger cheap facade cover distaste confine rancor extend olive branch thorns bucket bucket bucket false pretense amends counterfeit production performance sham scan bogus reconstruction extend olive branch masquerade camouflage animosity crushed beneath bucket bucket bucket bucket bucket,Negative
615,Accept,Bulletproof,grass thrill bought ticket laughed jokes sober smoky gloomy kite demon calm jekyll hyde bulletproof himself bulletproof destination underground journeys acid trains trips astral plane danced lucy cloud ecstasy sacrifice ultimate bulletproof himself bulletproof destination underground bulletproof chief medicineman bulletproof drug kissed bulletproof himself bulletproof destination underground bulletproof chief medicineman bulletproof drug,Positive
616,Accept,Burning,guitar screamin' breakin' doors earthquake explodin' brains natural roller bowls dreamin' roller roller roller,Neutral
617,Accept,Can't stand the night,fallin' somethin' few pure tore touched deeply fallin' oceans mountains,Neutral
618,Accept,Carry the weight,pressure bearing load measure wire eats cancer devil's dealing dragging shoulders shoulders bombing feds global warming planes floods earthquakes corporations tax breaks euro's brexit fix dragging shoulders shoulders trials heartache strife shoulders shoulders,Negative
619,Accept,Chain reaction,lousy tiles routine action divert attention rhyme season grade chain reactions actions chain reactions attractions boring turnin' mood grade chain reactions chain reactions action chain reactions action chain reactions attraction,Neutral
620,Accept,China lady,china few dollars pact china china china til china china china china,Neutral
621,Accept,Crossroads,longest deepest haunted hurting spell conscience crossroads crossroads,Negative
622,Accept,Crucifled,slot nothing's guaranteed deal uncertainty dice crucified crucified lottery cashing dice crucified crucified,Neutral
623,Accept,Dark side of my heart,burns return hunger throws hallowed chamber worlds collide tearing slave pawn drawn slaughter moth darkest tearing anger shoulder devils whisper ear itself taunt disappears darkest tearing,Negative
624,Accept,Dead on!,zooming universe collision course meteor smash trenches bloody nothing's dinosaurs runaway tons overheated engines wheels fighter boxing opponent's canvas tko headon collision hammer nail headon collision hammer nail belfast jerusalem tuzla afghanistan tooth nail irreversible recyclable headon collision hammer nail headon collision hammer nail teen spirit idol veins pressure terminates brains renegade indian geronimo cracked raging buffalo headon collision hammer nail headon collision hammer nail headon collision hammer nail headon collision hammer nail,Negative
625,Accept,Death row,meat rights society lifetime prison justify sucker maker punishment terminate row row row row row rotting dignity row row row row row row justice punish row row row row row row row row knock knock knocking hero's row sell row paid ticket gates row row row row,Negative
626,Accept,Demon's night,sparks storms bats bent rolling masters force course rolling demon's demon's angel's demon's cries demon's demon's blinding sounds demon's bell horror dangerous mother's rolling demon's demon's angel's demon's cries demon's demon's rolling demon's demon's angel's demon's cries demon's,Negative
627,Accept,Die by the sword,frozen terror balance abandoned drowning souls built thousands destroyed compassion cast souls void sword sword sword sword sinking deeper seed serpent breed valley thorns built thousands destroyed compassion cast souls void sword sword sword sword iron fallen warriors carved crush mindless crusade conquer instincts blade sword sword sword sword,Negative
628,Accept,Diggin' in the dirt,twice aside aware diggin' fair diggin' diggin' diggin' diggin' dig calm nor alike diggin' diggin' diggin' diggin',Positive
